"Term","Search","Next","Freq"
"are a lot of","are a lot","of",94
"i cant wait for","i cant wait","for",94
"the new york times","the new york","times",94
"all over the place","all over the","place",93
"i want to see","i want to","see",93
"not going to be","not going to","be",93
"to be part of","to be part","of",93
"at the time of","at the time","of",92
"in a way that","in a way","that",92
"it will be a","it will be","a",92
"other side of the","other side of","the",92
"i want to do","i want to","do",91
"the side of the","the side of","the",91
"to be one of","to be one","of",91
"at the beginning of","at the beginning","of",90
"in the back of","in the back","of",90
"there are a lot","there are a","lot",90
"you are going to","you are going","to",90
"and one of the","and one of","the",89
"and the rest of","and the rest","of",89
"as part of a","as part of","a",89
"from am to pm","from am to","pm",89
"i had no idea","i had no","idea",89
"i wish i had","i wish i","had",89
"in front of a","in front of","a",89
"in the late s","in the late","s",89
"in the name of","in the name","of",89
"in the way of","in the way","of",89
"as you can see","as you can","see",88
"find a way to","find a way","to",88
"i just wanted to","i just wanted","to",88
"in the first round","in the first","round",88
"mothers day to all","mothers day to","all",88
"the only way to","the only way","to",87
"want to go to","want to go","to",87
"what are you doing","what are you","doing",87
"of one of the","of one of","the",86
"a few of the","a few of","the",85
"at the bottom of","at the bottom","of",85
"dont want to be","dont want to","be",85
"figure out how to","figure out how","to",85
"for the sake of","for the sake","of",85
"i was in the","i was in","the",85
"in the second half","in the second","half",85
"some of the most","some of the","most",85
"to get back to","to get back","to",85
"to get to the","to get to","the",85
"from time to time","from time to","time",84
"i dont even know","i dont even","know",84
"the united states and","the united states","and",84
"this is not a","this is not","a",84
"with a lot of","with a lot","of",84
"a lot of fun","a lot of","fun",83
"dont know how to","dont know how","to",83
"get out of the","get out of","the",82
"love you so much","love you so","much",82
"thank you for following","thank you for","following",82
"to be a good","to be a","good",82
"cant wait to get","cant wait to","get",81
"im looking forward to","im looking forward","to",81
"in and out of","in and out","of",81
"in the fourth quarter","in the fourth","quarter",81
"in the process of","in the process","of",81
"is one of those","is one of","those",81
"theres a lot of","theres a lot","of",81
"you have a great","you have a","great",81
"contributed to this report","contributed to this","report",80
"have to go to","have to go","to",80
"i thought i was","i thought i","was",80
"in one of the","in one of","the",80
"it was a good","it was a","good",80
"some of the best","some of the","best",80
"the end of this","the end of","this",80
"the rest of us","the rest of","us",80
"would you like to","would you like","to",80
"at the start of","at the start","of",79
"but i dont think","but i dont","think",79
"hope you had a","hope you had","a",79
"i feel like im","i feel like","im",79
"i have to go","i have to","go",79
"with the help of","with the help","of",79
"and i want to","and i want","to",78
"i thought it would","i thought it","would",78
"in an effort to","in an effort","to",78
"in the history of","in the history","of",78
"me know if you","me know if","you",78
"thanks for the retweet","thanks for the","retweet",78
"to keep up with","to keep up","with",78
"i thought i would","i thought i","would",77
"in the s and","in the s","and",77
"not be able to","not be able","to",77
"once in a while","once in a","while",77
"take a look at","take a look","at",77
"what to do with","what to do","with",77
"you would like to","you would like","to",77
"are some of the","are some of","the",76
"dont know what to","dont know what","to",76
"i think it is","i think it","is",76
"i wish i was","i wish i","was",76
"to be a part","to be a","part",76
"you can see the","you can see","the",76
"a great deal of","a great deal","of",75
"a lot of things","a lot of","things",75
"all over the world","all over the","world",75
"had a lot of","had a lot","of",75
"is part of the","is part of","the",75
"on the back of","on the back","of",75
"over the course of","over the course","of",75
"the time of the","the time of","the",75
"at a time when","at a time","when",74
"for a few days","for a few","days",74
"going to be the","going to be","the",74
"in an attempt to","in an attempt","to",74
"the s and s","the s and","s",74
"was supposed to be","was supposed to","be",74
"end of the year","end of the","year",73
"have no idea what","have no idea","what",73
"i think it was","i think it","was",73
"i went to the","i went to","the",73
"in the face of","in the face","of",73
"in the first quarter","in the first","quarter",73
"the center of the","the center of","the",73
"the only one who","the only one","who",73
"would love to see","would love to","see",73
"a couple of years","a couple of","years",72
"be part of the","be part of","the",72
"i am not a","i am not","a",72
"in a long time","in a long","time",72
"may or may not","may or may","not",72
"the first day of","the first day","of",72
"and a lot of","and a lot","of",71
"at the age of","at the age","of",71
"i can tell you","i can tell","you",71
"in a couple of","in a couple","of",71
"in front of me","in front of","me",71
"the last time i","the last time","i",71
"to deal with the","to deal with","the",71
"as a way to","as a way","to",70
"as long as i","as long as","i",70
"come up with a","come up with","a",70
"i have to do","i have to","do",70
"it was going to","it was going","to",70
"one of the things","one of the","things",70
"that there is a","that there is","a",70
"the way to the","the way to","the",70
"there are plenty of","there are plenty","of",70
"to learn how to","to learn how","to",70
"when i was in","when i was","in",70
"you have to do","you have to","do",70
"both sides of the","both sides of","the",69
"but i have to","but i have","to",69
"can i get a","can i get","a",69
"fell in love with","fell in love","with",69
"for a chance to","for a chance","to",69
"if you have any","if you have","any",69
"is a lot of","is a lot","of",69
"nice to meet you","nice to meet","you",69
"said in an interview","said in an","interview",69
"a spokesman for the","a spokesman for","the",68
"as long as you","as long as","you",68
"be able to get","be able to","get",68
"for more than a","for more than","a",68
"hope all is well","hope all is","well",68
"in the right direction","in the right","direction",68
"makes me want to","makes me want","to",68
"was the first time","was the first","time",68
"a couple of days","a couple of","days",67
"i cant help but","i cant help","but",67
"in the third quarter","in the third","quarter",67
"the only thing that","the only thing","that",67
"to learn more about","to learn more","about",67
"dont get me wrong","dont get me","wrong",66
"going to have a","going to have","a",66
"he was going to","he was going","to",66
"i want you to","i want you","to",66
"if you dont have","if you dont","have",66
"it has been a","it has been","a",66
"more than a year","more than a","year",66
"out of the way","out of the","way",66
"thanks to everyone who","thanks to everyone","who",66
"the front of the","the front of","the",66
"the heart of the","the heart of","the",66
"the rest of my","the rest of","my",66
"to make sure that","to make sure","that",66
"would have to be","would have to","be",66
"have a chance to","have a chance","to",65
"one of the biggest","one of the","biggest",65
"open to the public","open to the","public",65
"out to be a","out to be","a",65
"thanks for the support","thanks for the","support",65
"the past two years","the past two","years",65
"to check out the","to check out","the",65
"we look forward to","we look forward","to",65
"wont be able to","wont be able","to",65
"all the way to","all the way","to",64
"had a chance to","had a chance","to",64
"it was the first","it was the","first",64
"so i decided to","so i decided","to",64
"this is a great","this is a","great",64
"and i have to","and i have","to",63
"here are a few","here are a","few",63
"if you would like","if you would","like",63
"in the next few","in the next","few",63
"one of the greatest","one of the","greatest",63
"out of the house","out of the","house",63
"over and over again","over and over","again",63
"the th anniversary of","the th anniversary","of",63
"this is what i","this is what","i",63
"up the good work","up the good","work",63
"would be a good","would be a","good",63
"but i dont know","but i dont","know",62
"day to all the","day to all","the",62
"despite the fact that","despite the fact","that",62
"do you have any","do you have","any",62
"fall in love with","fall in love","with",62
"has nothing to do","has nothing to","do",62
"have to deal with","have to deal","with",62
"i love you too","i love you","too",62
"in the hands of","in the hands","of",62
"there are a few","there are a","few",62
"to figure out how","to figure out","how",62
"to share with you","to share with","you",62
"to take advantage of","to take advantage","of",62
"to the fact that","to the fact","that",62
"what is going on","what is going","on",62
"a look at the","a look at","the",61
"and the fact that","and the fact","that",61
"i think this is","i think this","is",61
"it is hard to","it is hard","to",61
"it was one of","it was one","of",61
"keep up the good","keep up the","good",61
"the size of the","the size of","the",61
"were going to be","were going to","be",61
"be able to do","be able to","do",60
"have been able to","have been able","to",60
"i think i have","i think i","have",60
"in a lot of","in a lot","of",60
"in love with the","in love with","the",60
"in the near future","in the near","future",60
"is a good thing","is a good","thing",60
"not a fan of","not a fan","of",60
"really looking forward to","really looking forward","to",60
"the first half of","the first half","of",60
"to one of the","to one of","the",60
"will be in the","will be in","the",60
"let us know if","let us know","if",59
"now i have to","now i have","to",59
"thank you to all","thank you to","all",59
"the history of the","the history of","the",59
"the middle of a","the middle of","a",59
"there is a lot","there is a","lot",59
"this is why i","this is why","i",59
"to the united states","to the united","states",59
"wait to see what","wait to see","what",59
"a trip to the","a trip to","the",58
"about percent of the","about percent of","the",58
"but at the same","but at the","same",58
"for the follow i","for the follow","i",58
"go back to the","go back to","the",58
"have to do is","have to do","is",58
"hundreds of thousands of","hundreds of thousands","of",58
"i really need to","i really need","to",58
"if youre going to","if youre going","to",58
"in the parking lot","in the parking","lot",58
"is the first time","is the first","time",58
"middle of the night","middle of the","night",58
"so i had to","so i had","to",58
"thank you very much","thank you very","much",58
"the edge of the","the edge of","the",58
"to check it out","to check it","out",58
"to say the least","to say the","least",58
"want to be a","want to be","a",58
"as far as i","as far as","i",57
"got a lot of","got a lot","of",57
"have to worry about","have to worry","about",57
"i am trying to","i am trying","to",57
"ill let you know","ill let you","know",57
"make it to the","make it to","the",57
"on the side of","on the side","of",57
"thanks for all the","thanks for all","the",57
"that it would be","that it would","be",57
"that there is no","that there is","no",57
"the majority of the","the majority of","the",57
"the only thing i","the only thing","i",57
"time for me to","time for me","to",57
"will be at the","will be at","the",57
"all of a sudden","all of a","sudden",56
"cant wait to hear","cant wait to","hear",56
"i have a lot","i have a","lot",56
"i need to be","i need to","be",56
"i think its a","i think its","a",56
"i was trying to","i was trying","to",56
"in the world and","in the world","and",56
"it has to be","it has to","be",56
"it is going to","it is going","to",56
"it was time to","it was time","to",56
"please let me know","please let me","know",56
"the us department of","the us department","of",56
"to the point where","to the point","where",56
"to the top of","to the top","of",56
"what is your favorite","what is your","favorite",56
"would be able to","would be able","to",56
"for more than years","for more than","years",55
"for most of the","for most of","the",55
"have no idea how","have no idea","how",55
"have the right to","have the right","to",55
"how much i love","how much i","love",55
"i need to go","i need to","go",55
"if you dont know","if you dont","know",55
"im not sure if","im not sure","if",55
"is supposed to be","is supposed to","be",55
"not the only one","not the only","one",55
"tens of thousands of","tens of thousands","of",55
"the end of a","the end of","a",55
"the number of people","the number of","people",55
"we were going to","we were going","to",55
"you for the follow","you for the","follow",55
"at the time i","at the time","i",54
"awkward moment when you","awkward moment when","you",54
"do you think of","do you think","of",54
"have a good day","have a good","day",54
"i was a little","i was a","little",54
"is expected to be","is expected to","be",54
"not being able to","not being able","to",54
"one of the reasons","one of the","reasons",54
"thanks for following me","thanks for following","me",54
"that this is a","that this is","a",54
"the next few days","the next few","days",54
"the wall street journal","the wall street","journal",54
"to do with it","to do with","it",54
"to go to a","to go to","a",54
"we were able to","we were able","to",54
"you know what i","you know what","i",54
"a good time to","a good time","to",53
"a lot of money","a lot of","money",53
"a lot of work","a lot of","work",53
"as much as possible","as much as","possible",53
"for as long as","for as long","as",53
"i dont know about","i dont know","about",53
"i have to admit","i have to","admit",53
"i used to be","i used to","be",53
"in the wake of","in the wake","of",53
"its one of the","its one of","the",53
"of some of the","of some of","the",53
"on a regular basis","on a regular","basis",53
"so i can get","so i can","get",53
"thank you for all","thank you for","all",53
"the best of the","the best of","the",53
"those of us who","those of us","who",53
"would have been a","would have been","a",53
"you can do it","you can do","it",53
"a big fan of","a big fan","of",52
"a friend of mine","a friend of","mine",52
"a good way to","a good way","to",52
"at the expense of","at the expense","of",52
"at this point i","at this point","i",52
"be sure to check","be sure to","check",52
"forward to seeing you","forward to seeing","you",52
"from all over the","from all over","the",52
"get a chance to","get a chance","to",52
"i feel like a","i feel like","a",52
"i have a feeling","i have a","feeling",52
"i have to be","i have to","be",52
"i miss you too","i miss you","too",52
"im not sure what","im not sure","what",52
"on the edge of","on the edge","of",52
"the head of the","the head of","the",52
"the past few years","the past few","years",52
"to figure out what","to figure out","what",52
"to go out and","to go out","and",52
"two and a half","two and a","half",52
"what do you do","what do you","do",52
"you dont need to","you dont need","to",52
"you just have to","you just have","to",52
"you want me to","you want me","to",52
"a little bit more","a little bit","more",51
"a wide range of","a wide range","of",51
"end of the month","end of the","month",51
"for all of us","for all of","us",51
"i hate it when","i hate it","when",51
"i hope you have","i hope you","have",51
"i wanted to be","i wanted to","be",51
"if you dont like","if you dont","like",51
"in the bottom of","in the bottom","of",51
"is not going to","is not going","to",51
"it is important to","it is important","to",51
"just got back from","just got back","from",51
"one of the top","one of the","top",51
"player of the year","player of the","year",51
"rest of the world","rest of the","world",51
"that i need to","that i need","to",51
"to look at the","to look at","the",51
"want it to be","want it to","be",51
"what was going on","what was going","on",51
"with some of the","with some of","the",51
"and i have a","and i have","a",50
"and i have been","and i have","been",50
"as long as they","as long as","they",50
"at the center of","at the center","of",50
"back in the day","back in the","day",50
"feel the need to","feel the need","to",50
"going to be in","going to be","in",50
"i love you and","i love you","and",50
"in a few weeks","in a few","weeks",50
"in the center of","in the center","of",50
"in the living room","in the living","room",50
"its been a long","its been a","long",50
"rest of the day","rest of the","day",50
"thanks for following us","thanks for following","us",50
"thanks for the rts","thanks for the","rts",50
"that one of the","that one of","the",50
"the power of the","the power of","the",50
"to be a great","to be a","great",50
"and it was a","and it was","a",49
"ass ass ass ass","ass ass ass","ass",49
"couple of weeks ago","couple of weeks","ago",49
"for a while and","for a while","and",49
"great to see you","great to see","you",49
"he said he was","he said he","was",49
"i am not sure","i am not","sure",49
"i just had to","i just had","to",49
"let me tell you","let me tell","you",49
"look forward to seeing","look forward to","seeing",49
"martin luther king jr","martin luther king","jr",49
"of the things i","of the things","i",49
"seems to be a","seems to be","a",49
"something to do with","something to do","with",49
"that you have to","that you have","to",49
"the rest of his","the rest of","his",49
"this is a good","this is a","good",49
"to do the same","to do the","same",49
"youre not going to","youre not going","to",49
"a few days ago","a few days","ago",48
"as soon as possible","as soon as","possible",48
"did not want to","did not want","to",48
"for some reason i","for some reason","i",48
"i am so excited","i am so","excited",48
"i dont have any","i dont have","any",48
"i was a kid","i was a","kid",48
"if youd like to","if youd like","to",48
"in the morning and","in the morning","and",48
"in the same way","in the same","way",48
"in the st louis","in the st","louis",48
"looking forward to a","looking forward to","a",48
"might be able to","might be able","to",48
"one of the many","one of the","many",48
"stuck in my head","stuck in my","head",48
"sure to check out","sure to check","out",48
"the rest of your","the rest of","your",48
"to give it a","to give it","a",48
"to look forward to","to look forward","to",48
"we had a great","we had a","great",48
"you please follow me","you please follow","me",48
"a result of the","a result of","the",47
"but it was a","but it was","a",47
"had so much fun","had so much","fun",47
"i can think of","i can think","of",47
"i had to do","i had to","do",47
"i just need to","i just need","to",47
"i want to get","i want to","get",47
"if i had a","if i had","a",47
"in a series of","in a series","of",47
"in the long run","in the long","run",47
"in the mood for","in the mood","for",47
"in the us and","in the us","and",47
"my husband and i","my husband and","i",47
"my wife and i","my wife and","i",47
"over the past few","over the past","few",47
"the fact that he","the fact that","he",47
"the last couple of","the last couple","of",47
"the vast majority of","the vast majority","of",47
"to pick up the","to pick up","the",47
"to the end of","to the end","of",47
"want to make sure","want to make","sure",47
"were going to have","were going to","have",47
"you want to see","you want to","see",47
"am i the only","am i the","only",46
"and i dont think","and i dont","think",46
"and i will be","and i will","be",46
"do i have to","do i have","to",46
"dont know if i","dont know if","i",46
"end of the world","end of the","world",46
"good to see you","good to see","you",46
"how are you doing","how are you","doing",46
"i love you i","i love you","i",46
"if you are interested","if you are","interested",46
"if you have to","if you have","to",46
"im not the only","im not the","only",46
"in connection with the","in connection with","the",46
"in terms of the","in terms of","the",46
"in the th century","in the th","century",46
"in the world of","in the world","of",46
"let me know what","let me know","what",46
"more than percent of","more than percent","of",46
"on both sides of","on both sides","of",46
"on the verge of","on the verge","of",46
"that i have to","that i have","to",46
"the future of the","the future of","the",46
"the last few years","the last few","years",46
"the same time i","the same time","i",46
"there is no way","there is no","way",46
"this is a very","this is a","very",46
"to all of the","to all of","the",46
"to make up for","to make up","for",46
"to pay for the","to pay for","the",46
"to say that i","to say that","i",46
"with the exception of","with the exception","of",46
"you get a chance","you get a","chance",46
"a long time ago","a long time","ago",45
"and i dont know","and i dont","know",45
"and of course the","and of course","the",45
"and some of the","and some of","the",45
"anything to do with","anything to do","with",45
"by the time i","by the time","i",45
"day of the week","day of the","week",45
"dont have to be","dont have to","be",45
"for all of the","for all of","the",45
"going to try to","going to try","to",45
"have a great week","have a great","week",45
"have the opportunity to","have the opportunity","to",45
"hi hi hi hi","hi hi hi","hi",45
"i dont know i","i dont know","i",45
"i dont think it","i dont think","it",45
"i wanted to do","i wanted to","do",45
"in the bay area","in the bay","area",45
"in the last few","in the last","few",45
"it was nice to","it was nice","to",45
"on a daily basis","on a daily","basis",45
"on the same day","on the same","day",45
"one of the worst","one of the","worst",45
"so that i can","so that i","can",45
"take the time to","take the time","to",45
"thanks for the shoutout","thanks for the","shoutout",45
"that i have a","that i have","a",45
"the best part of","the best part","of",45
"the fact that we","the fact that","we",45
"the story of the","the story of","the",45
"they are going to","they are going","to",45
"to be in a","to be in","a",45
"to be the best","to be the","best",45
"used to be a","used to be","a",45
"we have a lot","we have a","lot",45
"when it came to","when it came","to",45
"would love to have","would love to","have",45
"a copy of the","a copy of","the",44
"a few months ago","a few months","ago",44
"a matter of time","a matter of","time",44
"all the time and","all the time","and",44
"and a couple of","and a couple","of",44
"and there is no","and there is","no",44
"at the very least","at the very","least",44
"be a lot of","be a lot","of",44
"but in the end","but in the","end",44
"came up with the","came up with","the",44
"do not want to","do not want","to",44
"happy birthday to my","happy birthday to","my",44
"has a lot of","has a lot","of",44
"has to do with","has to do","with",44
"have to be a","have to be","a",44
"i was looking for","i was looking","for",44
"im going to have","im going to","have",44
"in my life i","in my life","i",44
"know what you think","know what you","think",44
"like a lot of","like a lot","of",44
"one of my favorites","one of my","favorites",44
"one of those days","one of those","days",44
"one way or another","one way or","another",44
"said he did not","said he did","not",44
"the best in the","the best in","the",44
"the course of the","the course of","the",44
"the first thing i","the first thing","i",44
"the goal is to","the goal is","to",44
"the other day i","the other day","i",44
"there is so much","there is so","much",44
"there would be no","there would be","no",44
"think im going to","think im going","to",44
"to all of you","to all of","you",44
"to be the most","to be the","most",44
"to hear from you","to hear from","you",44
"to talk to you","to talk to","you",44
"wait to see the","wait to see","the",44
"what did you think","what did you","think",44
"you will have to","you will have","to",44
"and i cant wait","and i cant","wait",43
"as long as the","as long as","the",43
"as soon as the","as soon as","the",43
"did a great job","did a great","job",43
"for the heads up","for the heads","up",43
"havent been able to","havent been able","to",43
"he and his wife","he and his","wife",43
"here are some of","here are some","of",43
"i have to get","i have to","get",43
"i know i have","i know i","have",43
"if you are not","if you are","not",43
"if you dont want","if you dont","want",43
"in a position to","in a position","to",43
"in an interview with","in an interview","with",43
"in the last years","in the last","years",43
"in the top of","in the top","of",43
"is it just me","is it just","me",43
"it was a very","it was a","very",43
"it was great to","it was great","to",43
"its been a while","its been a","while",43
"just in time for","just in time","for",43
"of the block of","of the block","of",43
"of the year and","of the year","and",43
"on top of that","on top of","that",43
"thank you for sharing","thank you for","sharing",43
"thanks for stopping by","thanks for stopping","by",43
"thanks for the love","thanks for the","love",43
"that i am not","that i am","not",43
"that it is a","that it is","a",43
"the fact that it","the fact that","it",43
"the most important thing","the most important","thing",43
"there will be no","there will be","no",43
"this is not the","this is not","the",43
"this is the best","this is the","best",43
"to catch up on","to catch up","on",43
"to see you there","to see you","there",43
"we dont want to","we dont want","to",43
"why is it that","why is it","that",43
"you dont have a","you dont have","a",43
"you have a good","you have a","good",43
"you need to do","you need to","do",43
"a couple of months","a couple of","months",42
"a glass of wine","a glass of","wine",42
"a great place to","a great place","to",42
"a hell of a","a hell of","a",42
"a wide variety of","a wide variety","of",42
"are going to have","are going to","have",42
"at the heart of","at the heart","of",42
"been a long time","been a long","time",42
"had no idea what","had no idea","what",42
"have to say that","have to say","that",42
"i dont think so","i dont think","so",42
"i get to see","i get to","see",42
"i just have to","i just have","to",42
"i need to do","i need to","do",42
"i was in a","i was in","a",42
"if i had to","if i had","to",42
"if youre looking for","if youre looking","for",42
"it thanks for the","it thanks for","the",42
"looking forward to your","looking forward to","your",42
"no such thing as","no such thing","as",42
"of the th century","of the th","century",42
"on behalf of the","on behalf of","the",42
"on the way home","on the way","home",42
"one of the largest","one of the","largest",42
"so much to do","so much to","do",42
"supposed to be a","supposed to be","a",42
"thank you for being","thank you for","being",42
"that i had to","that i had","to",42
"the day of the","the day of","the",42
"the quality of the","the quality of","the",42
"thought it was a","thought it was","a",42
"to find a way","to find a","way",42
"to go to work","to go to","work",42
"until the end of","until the end","of",42
"want to talk about","want to talk","about",42
"was a lot of","was a lot","of",42
"was one of those","was one of","those",42
"were looking forward to","were looking forward","to",42
"will continue to be","will continue to","be",42
"with the fact that","with the fact","that",42
"would like to see","would like to","see",42
"would love to hear","would love to","hear",42
"you had a great","you had a","great",42
"you want to know","you want to","know",42
"a good place to","a good place","to",41
"a little more than","a little more","than",41
"am not going to","am not going","to",41
"and it will be","and it will","be",41
"at the hands of","at the hands","of",41
"at this point in","at this point","in",41
"do you think the","do you think","the",41
"get in the way","get in the","way",41
"has been in the","has been in","the",41
"have a good time","have a good","time",41
"i am not going","i am not","going",41
"i came up with","i came up","with",41
"i dont think its","i dont think","its",41
"i like to think","i like to","think",41
"i was on the","i was on","the",41
"i was supposed to","i was supposed","to",41
"if you want a","if you want","a",41
"in the city of","in the city","of",41
"it comes to the","it comes to","the",41
"it needs to be","it needs to","be",41
"it seems to be","it seems to","be",41
"need to go to","need to go","to",41
"no choice but to","no choice but","to",41
"the back of my","the back of","my",41
"the first round of","the first round","of",41
"the last two years","the last two","years",41
"the part of the","the part of","the",41
"to let you know","to let you","know",41
"to make it a","to make it","a",41
"to make sure the","to make sure","the",41
"to talk about the","to talk about","the",41
"we dont have to","we dont have","to",41
"what do you mean","what do you","mean",41
"when i went to","when i went","to",41
"with the rest of","with the rest","of",41
"would be a great","would be a","great",41
"you need to be","you need to","be",41
"a couple of hours","a couple of","hours",40
"a fan of the","a fan of","the",40
"but you have to","but you have","to",40
"declined to comment on","declined to comment","on",40
"do a lot of","do a lot","of",40
"do you have to","do you have","to",40
"for the time being","for the time","being",40
"had a great weekend","had a great","weekend",40
"had the opportunity to","had the opportunity","to",40
"i dont know where","i dont know","where",40
"i had a great","i had a","great",40
"i know i know","i know i","know",40
"in some of the","in some of","the",40
"in the end i","in the end","i",40
"in the past year","in the past","year",40
"it is not a","it is not","a",40
"it used to be","it used to","be",40
"of the most important","of the most","important",40
"on the part of","on the part","of",40
"rest of the week","rest of the","week",40
"so proud of you","so proud of","you",40
"that it was a","that it was","a",40
"the back of a","the back of","a",40
"the hell out of","the hell out","of",40
"the idea of a","the idea of","a",40
"the next couple of","the next couple","of",40
"the past couple of","the past couple","of",40
"the second half of","the second half","of",40
"to be at the","to be at","the",40
"to be honest i","to be honest","i",40
"to everyone who came","to everyone who","came",40
"to get into the","to get into","the",40
"to go to bed","to go to","bed",40
"to play in the","to play in","the",40
"to say that the","to say that","the",40
